time,true_dim0,pred_dim0,true_dim1,pred_dim1
0.0,2.243481014357698,2.243481,-0.7489544366089362,-0.7489544
0.035,3.269440933448069,3.0479202,-0.6704326011064171,-0.66920984
0.07,4.136618892319095,3.7399893,-0.5560021684357341,-0.5612153
0.10500000000000001,4.817650078343494,4.293326,-0.411220507204566,-0.42914885
0.14,5.230947107759217,4.6371374,-0.2426027544625435,-0.27791557
0.17500000000000002,5.234477125871533,4.7153563,-0.0595196056909709,-0.11477269
0.21000000000000002,4.964403791552653,4.5913234,0.1236870937145327,0.050862536
0.24500000000000002,4.45396770335551,4.3333426,0.2974412264188754,0.21170218
0.28,3.706624132234397,3.877985,0.4533300960363184,0.36318317
0.31500000000000006,2.729345108670433,3.2374341,0.5830619406645224,0.49848723
0.35000000000000003,1.618328337396275,2.4633405,0.6785890194679873,0.61122465
0.385,0.4694557308358033,1.6054838,0.7352305112768569,0.6968408
0.42000000000000004,-0.7041497895689748,0.70343745,0.7516614618561103,0.7525145
0.45500000000000007,-1.874249172979867,-0.21314692,0.727016219221196,0.7767726
0.49000000000000005,-2.975995403060039,-1.1213511,0.6614174981669008,0.7691324
0.525,-3.887237031210058,-1.9987512,0.5572576590597992,0.72988015
0.56,-4.545709984910525,-2.8138359,0.4212043629674474,0.66007787
0.5950000000000001,-4.982206979430229,-3.5177164,0.2621045134955788,0.5618581
0.6300000000000001,-5.202726520197009,-4.0557747,0.0877272692155206,0.43899643
0.665,-5.142684977977398,-4.4132385,-0.0943681589913747,0.29719523
0.7000000000000001,-4.674798699291689,-4.6138215,-0.2743621332205837,0.14273413
0.7350000000000001,-3.904463289194812,-4.6582165,-0.4379800876957928,-0.01890862
0.77,-2.975089209700998,-4.4641266,-0.5746363028176108,-0.1824045
0.805,-1.930211454287724,-4.0212736,-0.6787644251571461,-0.3394352
0.8400000000000001,-0.7461500595194981,-3.4158297,-0.7463218260572169,-0.4811656
0.8750000000000001,0.4930155677981045,-2.6902099,-0.7724370781403986,-0.6017928
0.9100000000000001,1.6819467827943675,-1.8600311,-0.7551815332674652,-0.6969929
0.9450000000000001,2.7902528821377666,-0.9472577,-0.6963133958696621,-0.7629335
0.9800000000000001,3.774959970962464,0.014586687,-0.5986545449948405,-0.796501
1.0150000000000001,4.545242733339812,0.9808738,-0.4665309460111543,-0.79582584
1.05,5.023057807497367,1.901696,-0.3074474503442607,-0.76078516
1.0850000000000002,5.156343708124713,2.7359667,-0.1316404270818529,-0.6931226
1.12,5.001829728628822,3.4631302,0.048831602702512,-0.59607804
1.155,4.613879667968454,4.066981,0.2238956432045209,-0.47366142
1.1900000000000002,3.9772215040733023,4.4899344,0.3853814315834165,-0.33031
1.225,3.0964094605551784,4.662857,0.5245841842259824,-0.17230323
1.2600000000000002,2.053197684268216,4.5952225,0.6329585153454136,-0.008395299
1.2950000000000002,0.9233174179029016,4.394647,0.7048204342948009,0.15272197
1.33,-0.2205224356495735,4.018134,0.7371365439214029,0.30644432
1.3650000000000002,-1.3833538876826474,3.4460247,0.7294182586736678,0.44672665
1.4000000000000001,-2.495146429171914,2.7221398,0.6810008726047752,0.566804
1.435,-3.491845937870087,1.8979692,0.5936707475837578,0.661474
1.4700000000000002,-4.266984875238601,1.016541,0.4714561397583046,0.7273426
1.5050000000000001,-4.786909631874125,0.11073303,0.3221116691249537,0.76249486
1.54,-5.058180691925687,-0.79452455,0.1545698320093591,0.7661218
1.5750000000000002,-5.089693590951699,-1.6772834,-0.0224664922080399,0.7382456
1.61,-4.807114459785985,-2.5102177,-0.2006057678913493,0.67963904
1.6450000000000002,-4.188918077138959,-3.2510717,-0.3688547739838588,0.5920114
1.6800000000000002,-3.32734866609153,-3.8444123,-0.515466906683723,0.47848886
1.715,-2.3167191115987342,-4.257699,-0.6319241099969259,0.34411588
1.7500000000000002,-1.1886009294846478,-4.5072565,-0.7130092789028819,0.19514085
1.7850000000000001,0.0093049122029543,-4.6097784,-0.7546103114348442,0.037284046
1.8200000000000003,1.2145266215663664,-4.5101438,-0.7542846395077413,-0.124391705
1.8550000000000002,2.348009426042082,-4.1493154,-0.711776207752918,-0.28292364
1.8900000000000001,3.3611745591458937,-3.59773,-0.6295958778414453,-0.42906687
1.9250000000000003,4.19121991869034,-2.9179697,-0.511954768271339,-0.55602425
1.9600000000000002,4.800533873664195,-2.129681,-0.365262071117177,-0.6592008
1.995,5.075258436952767,-1.2514,-0.1972433855389303,-0.73465055
2.0300000000000002,5.013928602570273,-0.31235242,-0.0196093402455835,-0.7790163
2.0650000000000004,4.708887631730357,0.64694136,0.155878160844376,-0.78998303
2.1,4.176808947415696,1.5780487,0.3206892279549383,-0.76681036
2.1350000000000002,3.409495976718937,2.4359422,0.4668775411144878,-0.71060693
2.1700000000000004,2.4294018245079982,3.1931088,0.5862099002996505,-0.62412393
2.205,1.3284402788142775,3.836024,0.6712389641574307,-0.51113904
2.24,0.1886436178233335,4.322756,0.7177343739159308,-0.37583253
2.2750000000000004,-0.9477697158500992,4.5808015,0.724336900539747,-0.22365966
2.31,-2.06398130193338,4.581693,0.6911649604849934,-0.06256889
2.345,-3.087750116171549,4.424656,0.6189256149173252,0.0982146
2.3800000000000003,-3.935444256917589,4.1179914,0.510854360851321,0.2530854
2.415,-4.534991114878737,3.6143444,0.373113811859205,0.39693636
2.45,-4.889570434303261,2.9432833,0.2143891228384492,0.5229532
2.4850000000000003,-5.012384643503095,2.155943,0.0432541576378349,0.6253739
2.5200000000000005,-4.877194742990064,1.298168,-0.1321793048847736,0.7002444
