time,true_dim0,pred_dim0,true_dim1,pred_dim1
0.0,2.243481014357698,2.243481,-0.7489544366089362,-0.7489544
0.035,3.269440933448069,3.0672026,-0.6704326011064171,-0.6701715
0.07,4.136618892319095,3.7584739,-0.5560021684357341,-0.5627956
0.10500000000000001,4.817650078343494,4.283054,-0.411220507204566,-0.43139547
0.14,5.230947107759217,4.6132407,-0.24260275446254356,-0.2817028
0.17500000000000002,5.234477125871533,4.7315955,-0.05951960569097096,-0.120453745
0.21000000000000002,4.964403791552653,4.634089,0.12368709371453274,0.044926956
0.24500000000000002,4.45396770335551,4.330921,0.29744122641887544,0.2068126
0.28,3.706624132234397,3.8442361,0.45333009603631846,0.35792947
0.31500000000000006,2.729345108670433,3.2037942,0.5830619406645224,0.49182326
0.35000000000000003,1.618328337396275,2.4426446,0.6785890194679873,0.6031374
0.385,0.46945573083580333,1.5942123,0.7352305112768569,0.6877095
0.42000000000000004,-0.7041497895689748,0.69102895,0.7516614618561103,0.74255604
0.45500000000000007,-1.874249172979867,-0.2353422,0.727016219221196,0.7658146
0.49000000000000005,-2.975995403060039,-1.1537182,0.6614174981669008,0.75669605
0.525,-3.887237031210058,-2.0324545,0.5572576590597992,0.7154741
0.56,-4.545709984910525,-2.838705,0.4212043629674474,0.6435205
0.5950000000000001,-4.982206979430229,-3.538251,0.26210451349557884,0.5433731
0.6300000000000001,-5.202726520197009,-4.096512,0.08772726921552067,0.41880667
0.665,-5.142684977977398,-4.4812756,-0.09436815899137477,0.27484867
0.7000000000000001,-4.674798699291689,-4.667002,-0.2743621332205837,0.11767076
0.7350000000000001,-3.904463289194812,-4.6393986,-0.4379800876957928,-0.045695096
0.77,-2.975089209700998,-4.3982406,-0.5746363028176108,-0.20779452
0.805,-1.9302114542877236,-3.9571166,-0.6787644251571461,-0.36124337
0.8400000000000001,-0.7461500595194981,-3.3405433,-0.7463218260572169,-0.4991605
0.8750000000000001,0.4930155677981045,-2.580196,-0.7724370781403986,-0.6154854
0.9100000000000001,1.6819467827943677,-1.7118175,-0.7551815332674652,-0.7052007
0.9450000000000001,2.7902528821377666,-0.7733219,-0.6963133958696621,-0.76450133
0.9800000000000001,3.7749599709624637,0.19620395,-0.5986545449948405,-0.79092836
1.0150000000000001,4.545242733339812,1.1570952,-0.4665309460111543,-0.78344727
1.05,5.023057807497367,2.0696378,-0.3074474503442607,-0.7424558
1.0850000000000002,5.156343708124713,2.8947096,-0.13164042708185292,-0.66973275
1.12,5.001829728628822,3.5947623,0.04883160270251209,-0.56836355
1.155,4.613879667968454,4.1355267,0.22389564320452096,-0.44266942
1.1900000000000002,3.9772215040733023,4.488753,0.38538143158341653,-0.29812953
1.225,3.0964094605551784,4.6357474,0.5245841842259824,-0.14123622
1.2600000000000002,2.0531976842682154,4.57055,0.6329585153454136,0.02079314
1.2950000000000002,0.9233174179029016,4.3011026,0.7048204342948009,0.18046956
1.33,-0.22052243564957355,3.847477,0.7371365439214029,0.33056992
1.3650000000000002,-1.3833538876826474,3.2379153,0.7294182586736678,0.46461082
1.4000000000000001,-2.495146429171914,2.5045664,0.6810008726047752,0.5771516
1.435,-3.491845937870087,1.6804115,0.5936707475837578,0.66391695
1.4700000000000002,-4.266984875238601,0.7977779,0.47145613975830464,0.7217986
1.5050000000000001,-4.786909631874125,-0.11191285,0.3221116691249537,0.7488061
1.54,-5.058180691925687,-1.0176768,0.15456983200935917,0.74401927
1.5750000000000002,-5.089693590951699,-1.8881958,-0.022466492208039986,0.70757306
1.61,-4.807114459785985,-2.6911066,-0.20060576789134935,0.64068586
1.6450000000000002,-4.188918077138959,-3.3927867,-0.36885477398385885,0.54572123
1.6800000000000002,-3.32734866609153,-3.9592195,-0.515466906683723,0.4262547
1.715,-2.3167191115987342,-4.358458,-0.6319241099969259,0.2870939
1.7500000000000002,-1.1886009294846478,-4.5646358,-0.7130092789028819,0.13418533
1.7850000000000001,0.009304912202954322,-4.562399,-0.7546103114348442,-0.025644302
1.8200000000000003,1.2145266215663664,-4.349883,-0.7542846395077413,-0.18510026
1.8550000000000002,2.348009426042082,-3.9388409,-0.711776207752918,-0.33689862
1.8900000000000001,3.3611745591458937,-3.3521366,-0.6295958778414453,-0.47420067
1.9250000000000003,4.19121991869034,-2.620156,-0.511954768271339,-0.5909412
1.9600000000000002,4.800533873664195,-1.7776871,-0.36526207111717707,-0.6820595
1.995,5.075258436952767,-0.8619076,-0.1972433855389303,-0.7436731
2.0300000000000002,5.013928602570273,0.08871275,-0.019609340245583504,-0.77321196
2.0650000000000004,4.708887631730357,1.0350617,0.155878160844376,-0.76950234
2.1,4.176808947415696,1.9379307,0.32068922795493837,-0.7327818
2.1350000000000002,3.4094959767189366,2.758655,0.4668775411144878,-0.6646563
2.1700000000000004,2.4294018245079982,3.4600654,0.5862099002996505,-0.5680292
2.205,1.3284402788142777,4.0080976,0.6712389641574307,-0.44703114
2.24,0.18864361782333358,4.3743687,0.7177343739159308,-0.30694115
2.2750000000000004,-0.9477697158500993,4.5395384,0.724336900539747,-0.154049
2.31,-2.0639813019333793,4.4964404,0.6911649604849934,0.004614353
2.345,-3.0877501161715495,4.251431,0.6189256149173252,0.16170493
2.3800000000000003,-3.9354442569175885,3.8229733,0.510854360851321,0.31008428
2.415,-4.534991114878737,3.238004,0.37311381185920506,0.44329184
2.45,-4.889570434303261,2.5277936,0.21438912283844924,0.5558616
2.4850000000000003,-5.012384643503095,1.7248116,0.0432541576378349,0.6434629
2.5200000000000005,-4.8771947429900635,0.8610993,-0.1321793048847736,0.7029169
