system_index,param1
1.0000000000,0.8976624608
2.0000000000,0.6138925552
3.0000000000,0.2614818513
4.0000000000,-0.0215416010
5.0000000000,-0.2874880731
6.0000000000,-0.5544397235
7.0000000000,-0.7879543304
