epoch,mask_mean,mask_sparsity,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5
0,0.6262478232383728,0.0,0.6268180012702942,0.6120035648345947,0.6390982866287231,0.6650576591491699,0.6011497974395752,0.6133596897125244
1,0.6200544238090515,0.0,0.613227367401123,0.6065060496330261,0.643345832824707,0.6775784492492676,0.5803802013397217,0.5992885231971741
2,0.6036006212234497,0.0,0.5962848663330078,0.5930769443511963,0.6237276792526245,0.6679043769836426,0.5575130581855774,0.5830966234207153
3,0.5856106877326965,0.0,0.5775271058082581,0.5774474143981934,0.6022570133209229,0.6554749011993408,0.5357691049575806,0.5651884078979492
4,0.5685749053955078,0.0,0.5583903789520264,0.5620948672294617,0.5850595831871033,0.6436651349067688,0.5153143405914307,0.5469250082969666
5,0.5513542294502258,0.16666662693023682,0.5394640564918518,0.5460172295570374,0.5662369728088379,0.6293208003044128,0.4981740415096283,0.5289119482040405
6,0.5363401174545288,0.16666662693023682,0.5211120247840881,0.5312207341194153,0.551221489906311,0.6173180341720581,0.48547208309173584,0.5116961002349854
7,0.5220932960510254,0.3333333134651184,0.5048756003379822,0.5165391564369202,0.5368515849113464,0.6046267747879028,0.47285133600234985,0.4968152344226837
8,0.5097161531448364,0.5,0.4909859001636505,0.5038749575614929,0.5251197218894958,0.5921521186828613,0.462067186832428,0.4840967059135437
9,0.5015246272087097,0.6666666567325592,0.4787304103374481,0.49661752581596375,0.5192633271217346,0.5876269340515137,0.45430150628089905,0.47260811924934387
10,0.49291539192199707,0.6666666567325592,0.4684540331363678,0.48689767718315125,0.5110352039337158,0.5791009068489075,0.44875800609588623,0.46324673295021057
11,0.4850982129573822,0.6666666567325592,0.46009019017219543,0.47714224457740784,0.5027546286582947,0.5700075626373291,0.4446760416030884,0.4559186100959778
12,0.4803111255168915,0.6666666567325592,0.4537261128425598,0.4694158732891083,0.5003083944320679,0.5661548972129822,0.44195735454559326,0.4503040611743927
13,0.477622389793396,0.8333333283662796,0.448927640914917,0.4630837142467499,0.4999370574951172,0.5672619342803955,0.4403006434440613,0.44622325897216797
14,0.4769538640975952,0.6666666567325592,0.4454296827316284,0.4585590660572052,0.5000075101852417,0.5750290751457214,0.43932855129241943,0.44336938858032227
15,0.47475552558898926,0.8333333283662796,0.4430265724658966,0.45336681604385376,0.4939878284931183,0.5777369141578674,0.43894055485725403,0.4414744973182678
16,0.4716401994228363,0.8333333283662796,0.44132331013679504,0.4486253261566162,0.48542696237564087,0.5753785371780396,0.43880605697631836,0.44028085470199585
17,0.46942803263664246,0.8333333283662796,0.4401751458644867,0.4453711211681366,0.4779660403728485,0.5747323036193848,0.4387475252151489,0.43957599997520447
18,0.46711617708206177,0.8333333283662796,0.4395361840724945,0.4429413378238678,0.4705088436603546,0.5717895030975342,0.4387543797492981,0.4391668140888214
19,0.46529239416122437,0.8333333283662796,0.4391448497772217,0.44131216406822205,0.46398815512657166,0.5696088671684265,0.4387480318546295,0.43895217776298523
20,0.46416088938713074,0.8333333283662796,0.4389415681362152,0.4403008222579956,0.45869460701942444,0.5694472193717957,0.4387440085411072,0.43883708119392395
21,0.4625268578529358,0.8333333283662796,0.4388415813446045,0.43961113691329956,0.45357546210289,0.5656000971794128,0.4387493133544922,0.4387834668159485
22,0.4614642858505249,0.8333333283662796,0.438785582780838,0.43921783566474915,0.4496821463108063,0.5635916590690613,0.43874651193618774,0.43876194953918457
23,0.46059322357177734,0.8333333283662796,0.4387613534927368,0.4390105903148651,0.44655144214630127,0.561736524105072,0.43874800205230713,0.43875160813331604
24,0.45970618724823,0.8333333283662796,0.4387514889240265,0.4388692378997803,0.444088876247406,0.5590298771858215,0.43874767422676086,0.4387500584125519
25,0.4593369960784912,0.8333333283662796,0.43874743580818176,0.43880587816238403,0.4423958659172058,0.5585771799087524,0.4387475848197937,0.4387481212615967
26,0.45893594622612,0.8333333283662796,0.4387458264827728,0.4387752115726471,0.44120562076568604,0.5573943853378296,0.43874719738960266,0.4387474060058594
27,0.4582075774669647,0.8333333283662796,0.43874701857566833,0.43875840306282043,0.4402094781398773,0.554036021232605,0.43874719738960266,0.43874719738960266
28,0.45797836780548096,0.8333333283662796,0.4387468993663788,0.43875089287757874,0.4396370053291321,0.5532411336898804,0.43874719738960266,0.4387471675872803
29,0.4576258063316345,0.8333333283662796,0.43874701857566833,0.4387490451335907,0.4392850399017334,0.5514792799949646,0.43874719738960266,0.4387471675872803
30,0.45738300681114197,0.8333333283662796,0.4387470781803131,0.4387476146221161,0.4390650689601898,0.5502438545227051,0.43874719738960266,0.4387471675872803
31,0.45704132318496704,0.8333333283662796,0.4387471675872803,0.4387473165988922,0.43890678882598877,0.5483522415161133,0.43874719738960266,0.4387471675872803
32,0.45690107345581055,0.8333333283662796,0.4387471079826355,0.43874719738960266,0.4388357102870941,0.5475819110870361,0.43874719738960266,0.4387471675872803
33,0.45672187209129333,0.8333333283662796,0.4387471079826355,0.43874719738960266,0.43879440426826477,0.5465481281280518,0.43874719738960266,0.4387471675872803
34,0.4562196731567383,0.8333333283662796,0.4387471079826355,0.43874719738960266,0.43876567482948303,0.5435635447502136,0.43874719738960266,0.4387471675872803
35,0.4562501311302185,0.8333333283662796,0.4387471079826355,0.43874719738960266,0.43875786662101746,0.5437542796134949,0.43874719738960266,0.4387471675872803
36,0.4562017619609833,0.8333333283662796,0.4387471079826355,0.43874719738960266,0.43875226378440857,0.5434695482254028,0.43874719738960266,0.4387471675872803
